Curtis Samuel (WAS - WR),2
Jameson Williams (DET - WR),2
Michael Gallup (DAL - WR),2
Skyy Moore (KC - WR),2
Van Jefferson (LAR - WR),2
Isaiah Hodgins (NYG - WR),2
Cole Kmet (CHI - TE),2
Dallas Cowboys (DAL - DST),2
Philadelphia Eagles (PHI - DST),2
New England Patriots (NE - DST),2
Derek Carr (NO - QB),1
Kenny Pickett (PIT - QB),1
Jordan Love (GB - QB),1
Matthew Stafford (LAR - QB),1
Joshua Kelley (LAC - RB),1
Michael Carter (NYJ - RB),1
Clyde Edwards-Helaire (KC - RB),1
Tyjae Spears (TEN - RB),1
Chase Brown (CIN - RB),1
K.J. Osborn (MIN - WR),1
Robert Woods (HOU - WR),1
Odell Beckham Jr. (BAL - WR),1
Elijah Moore (CLE - WR),1
Irv Smith Jr. (CIN - TE),1
Hunter Henry (NE - TE),1
Noah Fant (SEA - TE),1
Sam LaPorta (DET - TE),1
Indianapolis Colts (IND - DST),1
Pittsburgh Steelers (PIT - DST),1
Cleveland Browns (CLE - DST),1
Washington Commanders (WAS - DST),1
San Francisco 49ers (SF - DST),1
New Orleans Saints (NO - DST),1
Kansas City Chiefs (KC - DST),1
Miami Dolphins (MIA - DST),1
Green Bay Packers (GB - DST),1
Buffalo Bills (BUF - DST),1
Los Angeles Chargers (LAC - DST),1
Zane Gonzalez (SF - K),1
Greg Joseph (MIN - K),1
Justin Tucker (BAL - K),1
Jason Myers (SEA - K),1
Harrison Butker (KC - K),1
Evan McPherson (CIN - K),1
Tyler Bass (BUF - K),1
Daniel Carlson (LV - K),1
Cameron Dicker (LAC - K),1
Jake Elliott (PHI - K),1
Younghoe Koo (ATL - K),1
Graham Gano (NYG - K),1
Riley Patterson (DET - K),1
Brandon McManus (JAC - K),1
Jason Sanders (MIA - K),0
Jake Moody (SF - K),0
Cairo Santos (CHI - K),0
Chase McLaughlin (TB - K),0
Nick Folk (NE - K),0
Dustin Hopkins (LAC - K),0
Eddy Pineiro (CAR - K),0
Wil Lutz (NO - K),0
Seattle Seahawks (SEA - DST),0
Houston Texans (HOU - DST),0
New York Jets (NYJ - DST),0
Minnesota Vikings (MIN - DST),0
Detroit Lions (DET - DST),0
Tampa Bay Buccaneers (TB - DST),0
Baltimore Ravens (BAL - DST),0
Los Angeles Rams (LAR - DST),0
Jayden Reed (GB - WR),0
Jacksonville Jaguars (JAC - DST),0
Carolina Panthers (CAR - DST),0
Tennessee Titans (TEN - DST),0
Rashid Shaheed (NO - WR),0
New York Giants (NYG - DST),0
Denver Broncos (DEN - DST),0
Cincinnati Bengals (CIN - DST),0
John Metchie III (HOU - WR),0
Arizona Cardinals (ARI - DST),0
Russell Gage (TB - WR),0
Atlanta Falcons (ATL - DST),0
Hayden Hurst (CAR - TE),0
Zonovan Knight (NYJ - RB),0
Kendre Miller (NO - RB),0
Brock Purdy (SF - QB),0
Bryce Young (CAR - QB),0
Chris Boswell (PIT - K),0
Greg Zuerlein (NYJ - K),0
Brett Maher (DEN - K),0
Matt Gay (IND - K),0
Cade York (CLE - K),0
Tristan Vizcaino ( - K),0
Matt Prater (ARI - K),0
Anders Carlson (GB - K),0
Rodrigo Blankenship (TB - K),0
Greg Dortch (ARI - WR),0
Chicago Bears (CHI - DST),0
Alec Pierce (IND - WR),0
Darius Slayton (NYG - WR),0
Khalil Shakir (BUF - WR),0
Mack Hollins (ATL - WR),0
Mecole Hardman Jr. (NYJ - WR),0
Las Vegas Raiders (LV - DST),0
Tyler Conklin (NYJ - TE),0
Dawson Knox (BUF - TE),0
Cade Otton (TB - TE),0
Jelani Woods (IND - TE),0
Zach Ertz (ARI - TE),0
Logan Thomas (WAS - TE),0
Michael Mayer (LV - TE),0
Mike Gesicki (NE - TE),0
Jerome Ford (CLE - RB),0
Pierre Strong Jr. (NE - RB),0
Kareem Hunt ( - RB),0
Kyren Williams (LAR - RB),0
Keaontay Ingram (ARI - RB),0
Israel Abanikanda (NYJ - RB),0
Ronald Jones II (DAL - RB),0
Jimmy Garoppolo (LV - QB),0
Corey Davis (NYJ - WR),0
Allen Robinson II (PIT - WR),0
Chase Claypool (CHI - WR),0
Marvin Jones Jr. (DET - WR),0
Rashee Rice (KC - WR),0
Trey McBride (ARI - TE),0
Taysom Hill (NO - TE),0
Latavius Murray (BUF - RB),0
Ty Chandler (MIN - RB),0
Matt Breida (NYG - RB),0
Malik Davis (DAL - RB),0
Isaiah Spiller (LAC - RB),0
Zamir White (LV - RB),0
Kenyan Drake (IND - RB),0
Zack Moss (IND - RB),0
Corey Clement (ARI - RB),0
Zach Evans (LAR - RB),0
C.J. Stroud (HOU - QB),0
Ryan Tannehill (TEN - QB),0
Mac Jones (NE - QB),0
Kyler Murray (ARI - QB),0
Parris Campbell (NYG - WR),0
Joshua Palmer (LAC - WR),0
Tyquan Thornton (NE - WR),0
Wan'Dale Robinson (NYG - WR),0
Ben Skowronek (LAR - WR),0
Luke Musgrave (GB - TE),0
Isaiah Likely (BAL - TE),0
Austin Hooper (LV - TE),0
Jake Ferguson (DAL - TE),0
Deuce Vaughn (DAL - RB),0
"Ty Montgomery (NE - WR,RB)",0
Eric Gray (NYG - RB),0
JaMycal Hasty (JAC - RB),0
Melvin Gordon III (BAL - RB),0
Ameer Abdullah (LV - RB),0
Royce Freeman (LAR - RB),0
DeeJay Dallas (SEA - RB),0
Hassan Haskins (TEN - RB),0
Deon Jackson (IND - RB),0
Sam Howell (WAS - QB),0
Jalin Hyatt (NYG - WR),0
Josh Reynolds (DET - WR),0
Kendrick Bourne (NE - WR),0
Nick Westbrook-Ikhine (TEN - WR),0
Ke'Shawn Vaughn (TB - RB),0
Jordan Mason (SF - RB),0
Raheem Blackshear (CAR - RB),0
Kevin Harris (NE - RB),0
Chris Rodriguez Jr. (WAS - RB),0
Kene Nwangwu (MIN - RB),0
Trayveon Williams (CIN - RB),0
Evan Hull (IND - RB),0
DeWayne McBride (MIN - RB),0
Chris Evans (CIN - RB),0
Anthony McFarland Jr. (PIT - RB),0
Sean Tucker (TB - RB),0
Travis Homer (CHI - RB),0
Kyle Juszczyk (SF - RB),0
Boston Scott (PHI - RB),0
J.J. Taylor (NE - RB),0
Sincere McCormick (LV - RB),0
Desmond Ridder (ATL - QB),0
Marvin Mims Jr. (DEN - WR),0
Terrace Marshall Jr. (CAR - WR),0
Richie James Jr. (KC - WR),0
Sterling Shepard (NYG - WR),0
Isaiah McKenzie (IND - WR),0
Patrick Taylor Jr. (GB - RB),0
D'Ernest Johnson (JAC - RB),0
Baker Mayfield (TB - QB),0
Laviska Shenault Jr. (CAR - WR),0
Josh Downs (IND - WR),0
Tutu Atwell (LAR - WR),0
