Irv Smith Jr. (MIN - TE)INJ,1
Gerald Everett (LAC - TE),1
Green Bay Packers (GB - DST),1
Dallas Cowboys (DAL - DST),1
Los Angeles Rams (LAR - DST),1
New Orleans Saints (NO - DST),1
Miami Dolphins (MIA - DST),1
San Francisco 49ers (SF - DST),1
Los Angeles Chargers (LAC - DST),1
Indianapolis Colts (IND - DST),1
Minnesota Vikings (MIN - DST),1
Justin Tucker (BAL - K),1
Harrison Butker (KC - K),1
Daniel Carlson (LV - K),1
Matt Gay (LAR - K),1
Ryan Succop (TB - K),1
Tyler Bass (BUF - K),1
Greg Joseph (MIN - K),1
Mason Crosby (GB - K)INJ,1
Matt Prater (ARI - K),1
Evan McPherson (CIN - K),1
Nick Folk (NE - K),1
Brett Maher (DAL - K),1
Rodrigo Blankenship (IND - K),1
Robbie Gould (SF - K),1
Brandon McManus (DEN - K),1
New England Patriots (NE - DST),1
Cleveland Browns (CLE - DST),1
Kansas City Chiefs (KC - DST),1
Arizona Cardinals (ARI - DST),1
Denver Broncos (DEN - DST),1
Cincinnati Bengals (CIN - DST),1
Tennessee Titans (TEN - DST),1
Washington Commanders (WAS - DST),1
Chicago Bears (CHI - DST),1
Baltimore Ravens (BAL - DST),1
Carolina Panthers (CAR - DST),1
Philadelphia Eagles (PHI - DST),1
Garrett Wilson (NYJ - WR),1
Marvin Jones Jr. (JAC - WR),1
Robert Tonyan (GB - TE),1
Jerick McKinnon (KC - RB),1
Daniel Jones (NYG - QB),1
Matt Ryan (IND - QB),1
Mac Jones (NE - QB),1
Jameis Winston (NO - QB),1
Carson Wentz (WAS - QB),1
Dustin Hopkins (LAC - K),1
Chris Boswell (PIT - K),1
Randy Bullock (TEN - K),1
Wil Lutz (NO - K),1
Jake Elliott (PHI - K),1
Younghoe Koo (ATL - K),1
Jason Sanders (MIA - K),1
New York Giants (NYG - DST),1
Houston Texans (HOU - DST),1
Jacksonville Jaguars (JAC - DST),1
Seattle Seahawks (SEA - DST),1
DJ Chark Jr. (DET - WR),1
New York Jets (NYJ - DST),1
Las Vegas Raiders (LV - DST),1
Detroit Lions (DET - DST),1
Corey Davis (NYJ - WR),1
Jahan Dotson (WAS - WR),1
Van Jefferson (LAR - WR),1
Jalen Tolbert (DAL - WR),1
Atlanta Falcons (ATL - DST),1
Nico Collins (HOU - WR),1
George Pickens (PIT - WR),1
Albert Okwuegbunam (DEN - TE),1
Logan Thomas (WAS - TE),1
Evan Engram (JAC - TE),1
Austin Hooper (TEN - TE),1
Damien Williams (ATL - RB),1
Sony Michel (MIA - RB),1
Isiah Pacheco (KC - RB),1
Boston Scott (PHI - RB),1
Kenyan Drake ( - RB),1
Dontrell Hilliard (TEN - RB),1
Jared Goff (DET - QB),1
Baker Mayfield (CAR - QB),1
Zach Wilson (NYJ - QB),1
Graham Gano (NYG - K),1
Cairo Santos (CHI - K),1
Austin Seibert (DET - K),1
Skyy Moore (KC - WR),1
K.J. Osborn (MIN - WR),1
Donovan Peoples-Jones (CLE - WR),1
Curtis Samuel (WAS - WR),1
Julio Jones (TB - WR),1
Rondale Moore (ARI - WR),1
Parris Campbell (IND - WR),1
Joshua Palmer (LAC - WR),1
Hayden Hurst (CIN - TE),1
Matt Breida (NYG - RB),1
Ameer Abdullah (LV - RB),1
Ronald Jones II (KC - RB),1
Samaje Perine (CIN - RB),1
Davis Mills (HOU - QB),1
Randall Cobb (GB - WR),1
Alec Pierce (IND - WR),1
Nick Westbrook-Ikhine (TEN - WR),1
Kendrick Bourne (NE - WR),1
Sterling Shepard (NYG - WR),1
Mo Alie-Cox (IND - TE),1
Brevin Jordan (HOU - TE),1
Hassan Haskins (TEN - RB),1
Tyrion Davis-Price (SF - RB),1
Chuba Hubbard (CAR - RB),1
Mike Davis (BAL - RB),1
KJ Hamler (DEN - WR),1
Christian Watson (GB - WR),1
A.J. Green (ARI - WR),1
Bryan Edwards (ATL - WR),1
Jameson Williams (DET - WR),1
Devin Duvernay (BAL - WR),1
Zay Jones (JAC - WR),1
Adam Trautman (NO - TE),1
Kyle Rudolph (TB - TE),1
Cameron Brate (TB - TE),1
C.J. Uzomah (NYJ - TE),1
Eno Benjamin (ARI - RB),1
Ke'Shawn Vaughn (TB - RB),1
D'Ernest Johnson (CLE - RB),1
Jeff Wilson Jr. (SF - RB),1
Kyle Juszczyk (SF - RB),1
Phillip Lindsay (IND - RB),1
Tyler Goodson (GB - RB),1
Joshua Kelley (LAC - RB),1
Craig Reynolds (DET - RB),1
Brandon Bolden (LV - RB),1
Marcus Mariota (ATL - QB),1
Byron Pringle (CHI - WR),1
Cedrick Wilson Jr. (MIA - WR),1
Jamison Crowder (BUF - WR),1
Laviska Shenault Jr. (JAC - WR),1
Sammy Watkins (GB - WR),1
James Washington (DAL - WR),1
Romeo Doubs (GB - WR),1
Wan'Dale Robinson (NYG - WR),1
Justin Jackson (DET - RB),1
Chris Evans (CIN - RB),1
Tevin Coleman (NYJ - RB),1
Travis Homer (SEA - RB),1
Nelson Agholor (NE - WR),1
David Bell (CLE - WR),1
Braxton Berrios (NYJ - WR),1
Isaiah McKenzie (BUF - WR),1
Chris Conley (HOU - WR),1
Olamide Zaccheaus (ATL - WR),1
Terrace Marshall Jr. (CAR - WR),1
Mitch Trubisky (PIT - QB),1
Geno Smith (SEA - QB),1
Jacoby Brissett (CLE - QB),1
Deshaun Watson (CLE - QB),1
Kenny Pickett (PIT - QB),1
